job_category,time_base,Post Id,City,area,Resume Version Sent,treatment,Server or Cook,foh_boh,Interview Requested,interview_requested_binary
Help,part-time,7605103258,portland,multnomah co,1,Man,s,FOH,Yes,1
Help,employee's choice,7605082903,portland,washington co,4,Woman,c,BOH,,0
Line Cook,full-time,7605036257,portland,multnomah co,3,Man,c,BOH,,0
Line Cook,full-time,7604843684,portland,clackamas co,4,Woman,c,BOH,,0
Head Chef,full-time,7602189120,portland,yamhill co,3,Man,c,BOH,,0
Server,employee's choice,7602135421,portland,yamhill co,2,Woman,s,FOH,,0
Server,part-time,7605089761,atlanta,atlanta,1,Man,s,FOH,,0
FOH,full-time,7605056802,atlanta,atlanta,2,Woman,s,FOH,Yes,1
Host/Hostess,part-time,7605015703,atlanta,atlanta,1,Man,s,FOH,,0
Line Cook,full-time,7604010948,atlanta,otp north,4,Woman,c,BOH,,0
Line Cook,full-time,7603964379,atlanta,otp north,3,Man,c,BOH,,0
Help,employee's choice,7603777970,atlanta,otp north,4,Woman,c,BOH,Yes,1
Host/Hostess,part-time,7605329214,SF bay area,santa cruz,1,Man,s,FOH,,0
Server,full-time,7605329059,SF bay area,north bay,2,Woman,s,FOH,Yes,1
Sous Chef,full-time,7605216376,SF bay area,south bay,3,Man,c,BOH,,0
FOH,part-time,7605214173,SF bay area,east bay,4,Woman,c,BOH,,0
Server,full-time,7605179676,SF bay area,san francisco,1,Man,s,FOH,Yes,1
Line Cook,full-time,7605173913,SF bay area,east bay,4,Woman,c,BOH,Yes,1
Line Cook,part-time,7605150633,SF bay area,san francisco,3,Man,c,BOH,,0
Help,full-time,7605141985,SF bay area,east bay,2,Woman,s,FOH,Yes,1
FOH,full-time,7605126484,SF bay area,east bay,1,Man,s,FOH,Yes,1
FOH,full-time,7605124598,SF bay area,santa cruz,2,Woman,s,FOH,Yes,1
FOH,part-time,7605528948,portland,multnomah co,1,Man,s,FOH,,0
Server,part-time,7605061940,portland,multnomah co,2,Woman,s,FOH,,0
Help,full-time,7604440262,portland,multnomah co,1,Man,s,FOH,,0
Line Cook,part-time,7604320852,portland,multnomah co,4,Woman,c,BOH,Yes,1
FOH,employee's choice,7604211671,portland,multnomah co,1,Man,s,FOH,,0
Help,employee's choice,7604036882,portland,multnomah co,2,Woman,s,FOH,,0
Line Cook,full-time,7604000892,portland,multnomah co,3,Man,c,BOH,Yes,1
Line Cook,part-time,7605373183,atlanta,atlanta,4,Woman,c,BOH,Yes,1
Line Cook,full-time,7605357508,atlanta,atlanta,3,Man,c,BOH,Yes,1
Chef,full-time,7605327824,atlanta,atlanta,4,Woman,c,BOH,,0
Line Cook,full-time,7605321668,atlanta,atlanta,3,Man,c,BOH,Yes,1
Server,full-time,7604814766,atlanta,atlanta,2,Woman,s,FOH,Yes,1
FOH,employee's choice,7604756999,atlanta,atlanta,3,Man,c,BOH,Yes,1
Host/Hostess,full-time,7604732590,atlanta,atlanta,2,Woman,s,FOH,Yes,1
Head Chef,full-time,7604698632,atlanta,atlanta,3,Man,c,BOH,,0
Server,employee's choice,7604663842,atlanta,atlanta,2,Woman,s,FOH,,0
Server,part-time,7604663521,atlanta,atlanta,1,Man,s,FOH,,0
Server,full-time,7604630693,atlanta,atlanta,2,Woman,s,FOH,,0
Line Cook,part-time,7605564578,SF bay area,east bay,3,Man,c,BOH,,0
FOH,employee's choice,7605562022,SF bay area,peninsula,2,Woman,s,FOH,,0
Server,part-time,7605552487,SF bay area,south bay,1,Man,s,FOH,,0
Line Cook,full-time,7605544873,SF bay area,south bay,4,Woman,c,BOH,,0
Server,employee's choice,7605528103,SF bay area,san francisco,1,Man,s,FOH,,0
Help,part-time,7605514285,SF bay area,santa cruz,2,Woman,s,FOH,,0
BOH,full-time,7605502272,SF bay area,east bay,3,Man,c,BOH,,0
Cashier,part-time,7605482328,SF bay area,san francisco,2,Woman,s,FOH,Yes,1
Line Cook,full-time,7605479248,SF bay area,north bay,3,Man,c,BOH,,0
Server,full-time,7605454785,SF bay area,east bay,2,Woman,s,FOH,,0
Line Cook,part-time,7605453437,SF bay area,north bay,3,Man,c,BOH,Yes,1
Server,part-time,7605441275,SF bay area,east bay,2,Woman,s,FOH,Yes,1
FOH,employee's choice,7605439520,SF bay area,north bay,1,Man,s,FOH,Yes,1
Barista,part-time,7605680043,portland,washington co,5,Nonbinary,s,FOH,,0
Chef,full-time,7605595684,portland,clark/cowlitz,6,Nonbinary,c,BOH,Yes,1
Server,employee's choice,7605481204,portland,yamhill co,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7605411223,portland,clark/cowlitz,6,Nonbinary,c,BOH,,0
FOH,employee's choice,7605211182,portland,washington co,5,Nonbinary,s,FOH,,0
Line Cook,employee's choice,7603824500,portland,multnomah co,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7603798460,portland,multnomah co,6,Nonbinary,c,BOH,,0
BOH,full-time,7604683490,atlanta,otp east,5,Nonbinary,s,FOH,Yes,1
Server,part-time,7604590424,atlanta,atlanta,5,Nonbinary,s,FOH,,0
Head Chef,full-time,7604534005,atlanta,otp west,6,Nonbinary,c,BOH,,0
Line Cook,part-time,7604482359,atlanta,atlanta,6,Nonbinary,c,BOH,,0
FOH,full-time,7604303312,atlanta,atlanta,5,Nonbinary,s,FOH,,0
Head Chef,full-time,7604291402,atlanta,atlanta,3,Man,c,BOH,,0
FOH,employee's choice,7604231986,atlanta,atlanta,2,Woman,s,FOH,,0
Barista,part-time,7605805890,SF bay area,san francisco,5,Nonbinary,s,FOH,Yes,1
FOH,full-time,7605751004,SF bay area,santa cruz,5,Nonbinary,s,FOH,,0
Server,full-time,7605750356,SF bay area,san francisco,5,Nonbinary,s,FOH,Yes,1
Line Cook,employee's choice,7605725886,SF bay area,north bay,6,Nonbinary,c,BOH,Yes,1
Server,full-time,7605721042,SF bay area,north bay,5,Nonbinary,s,FOH,Yes,1
Sous Chef,employee's choice,7605709525,SF bay area,north bay,6,Nonbinary,c,BOH,Yes,1
Manager,full-time,7605584887,SF bay area,north bay,1,Man,s,FOH,Yes,1
Head Chef,full-time,7605424568,SF bay area,north bay,4,Woman,c,BOH,,0
Server,full-time,7605423375,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Server,full-time,7605414483,SF bay area,san francisco,1,Man,s,FOH,,0
Line Cook,employee's choice,7605820283,portland,washington co,4,Woman,c,BOH,,0
Line Cook,full-time,7605783776,portland,washington co,6,Nonbinary,c,BOH,,0
Sous Chef,full-time,7604797248,portland,clackamas co,3,Man,c,BOH,,0
Barista,employee's choice,7604784383,portland,clackamas co,2,Woman,s,FOH,,0
Line Cook,full-time,7604757389,portland,clackamas co,6,Nonbinary,c,BOH,Yes,1
Line Cook,employee's choice,7604756209,portland,washington co,3,Man,c,BOH,Yes,1
Line Cook,employee's choice,7604736735,portland,clark/cowlitz,4,Woman,c,BOH,Yes,1
BOH,part-time,7604723331,portland,clark/cowlitz,5,Nonbinary,s,FOH,,0
Server,part-time,7604190308,atlanta,atlanta,2,Woman,s,FOH,Yes,1
Busser,part-time,7604151035,atlanta,atlanta,5,Nonbinary,s,FOH,,0
BOH,part-time,7604028480,atlanta,atlanta,3,Man,c,BOH,Yes,1
Line Cook,full-time,7603943891,atlanta,atlanta,4,Woman,c,BOH,Yes,1
Bartender,full-time,7603907827,atlanta,atlanta,5,Nonbinary,s,FOH,Yes,1
Line Cook,full-time,7604156841,atlanta,atlanta,3,Man,c,BOH,,0
Server,employee's choice,7605934661,portland,clark/cowlitz,1,Man,s,FOH,,0
FOH,employee's choice,7605919198,portland,washington co,2,Woman,s,FOH,,0
Server,part-time,7605916463,portland,yamhill co,5,Nonbinary,s,FOH,,0
Bartender,part-time,7604607057,portland,washington co,6,Nonbinary,c,BOH,,0
Host/Hostess,part-time,7604518364,portland,clark/cowlitz,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7604406320,portland,clackamas co,6,Nonbinary,c,BOH,,0
BOH,full-time,7605999947,SF bay area,north bay,6,Nonbinary,c,BOH,,0
Bartender,employee's choice,7605976115,SF bay area,east bay,5,Nonbinary,s,FOH,,0
FOH,part-time,7605968798,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7605927931,SF bay area,east bay,6,Nonbinary,c,BOH,,0
Cashier,full-time,7605999263,atlanta,atlanta,5,Nonbinary,s,FOH,Yes,1
Server,part-time,7605929145,atlanta,atlanta,5,Nonbinary,s,FOH,,0
Line Cook,part-time,7606047363,SF bay area,santa cruz,3,Man,c,BOH,Yes,1
Line Cook,full-time,7606046289,SF bay area,peninsula,4,Woman,c,BOH,,0
Cashier,full-time,7605924392,SF bay area,san francisco,5,Nonbinary,s,FOH,Yes,1
Line Cook,employee's choice,7605923161,SF bay area,santa cruz,3,Man,c,BOH,,0
BOH,full-time,7606252031,atlanta,otp south,3,Man,c,BOH,,0
Line Cook,full-time,7606195591,atlanta,atlanta,6,Nonbinary,c,BOH,Yes,1
Server,employee's choice,7606180232,atlanta,atlanta,1,Man,s,FOH,Yes,1
Bartender,employee's choice,7606488428,SF bay area,north bay,2,Woman,s,FOH,,0
Head Chef,part-time,7606467988,SF bay area,east bay,6,Nonbinary,c,BOH,,0
Line Cook,employee's choice,7606467302,SF bay area,north bay,3,Man,c,BOH,,0
Head Chef,full-time,7606459823,SF bay area,south bay,4,Woman,c,BOH,,0
FOH,part-time,7606451604,SF bay area,south bay,1,Man,s,FOH,,0
Bartender,part-time,7606450170,SF bay area,north bay,2,Woman,s,FOH,,0
Manager,full-time,7606449212,SF bay area,san francisco,6,Nonbinary,c,BOH,,0
Line Cook,employee's choice,7606441285,SF bay area,santa cruz,3,Man,c,BOH,,0
Server,full-time,7606437237,SF bay area,peninsula,2,Woman,s,FOH,,0
Host/Hostess,part-time,7606392350,portland,clackamas co,5,Nonbinary,s,FOH,,0
Barista,part-time,7606380363,portland,clark/cowlitz,1,Man,s,FOH,,0
Help,full-time,7606242424,portland,washington co,4,Woman,c,BOH,,0
Manager,employee's choice,7606013439,portland,clackamas co,5,Nonbinary,s,FOH,,0
Help,employee's choice,7604038293,portland,clackamas co,1,Man,s,FOH,,0
FOH,employee's choice,7606434664,SF bay area,east bay,2,Woman,s,FOH,,0
FOH,part-time,7606434552,SF bay area,peninsula,5,Nonbinary,s,FOH,,0
Manager,full-time,7606432098,SF bay area,san francisco,3,Man,c,BOH,,0
Sous Chef,full-time,7606431748,SF bay area,east bay,4,Woman,c,BOH,,0
Host/Hostess,full-time,7606430376,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
FOH,employee's choice,7606421165,SF bay area,san francisco,3,Man,c,BOH,,0
Server,part-time,7606397948,SF bay area,san francisco,2,Woman,s,FOH,,0
Line Cook,part-time,7606393903,SF bay area,santa cruz,6,Nonbinary,c,BOH,,0
Server,employee's choice,7606387507,SF bay area,east bay,1,Man,s,FOH,,0
Server,employee's choice,7606381014,SF bay area,san francisco,2,Woman,s,FOH,,0
Help,part-time,7606373626,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
FOH,part-time,7606370921,SF bay area,san francisco,3,Man,c,BOH,,0
Server,part-time,7605403841,SF bay area,san francisco,1,Man,s,FOH,,0
Server,part-time,7605397169,SF bay area,north bay,2,Woman,s,FOH,,0
Line Cook,employee's choice,7605396758,SF bay area,north bay,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7605391017,SF bay area,south bay,3,Man,c,BOH,,0
Sous Chef,full-time,7605369893,SF bay area,north bay,4,Woman,c,BOH,,0
Server,full-time,7605364446,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Bartender,employee's choice,7605358739,SF bay area,san francisco,1,Man,s,FOH,,0
FOH,full-time,7606552909,portland,washington co,4,Woman,c,BOH,Yes,1
Line Cook,full-time,7606513508,portland,multnomah co,6,Nonbinary,c,BOH,Yes,1
Line Cook,part-time,7603986948,portland,clark/cowlitz,3,Man,c,BOH,,0
Line Cook,part-time,7603982586,portland,washington co,4,Woman,c,BOH,,0
Chef,part-time,7605412398,SF bay area,east bay,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7603371568,portland,clackamas co,3,Man,c,BOH,,0
Help,employee's choice,7603700963,atlanta,atlanta,2,Woman,s,FOH,,0
Line Cook,part-time,7603693803,atlanta,otp south,6,Nonbinary,c,BOH,Yes,1
Line Cook,part-time,7605349654,SF bay area,san francisco,3,Man,c,BOH,,0
BOH,full-time,7605339370,SF bay area,north bay,4,Woman,c,BOH,,0
Server,full-time,7605124592,SF bay area,south bay,5,Nonbinary,s,FOH,,0
Server,part-time,7605108209,SF bay area,east bay,1,Man,s,FOH,Yes,1
Line Cook,full-time,7605104042,SF bay area,santa cruz,4,Woman,c,BOH,,0
Server,part-time,7605090274,SF bay area,santa cruz,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7605088823,SF bay area,north bay,3,Man,c,BOH,,0
Bartender,full-time,7605044724,SF bay area,north bay,2,Woman,s,FOH,,0
Host/Hostess,employee's choice,7605043293,SF bay area,north bay,5,Nonbinary,s,FOH,,0
Cashier,part-time,7605032042,SF bay area,north bay,1,Man,s,FOH,,0
Line Cook,full-time,7605019622,SF bay area,san francisco,4,Woman,c,BOH,,0
Line Cook,full-time,7605019352,SF bay area,san francisco,6,Nonbinary,c,BOH,,0
Server,employee's choice,7605008701,SF bay area,south bay,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7604998481,SF bay area,east bay,6,Nonbinary,c,BOH,Yes,1
Manager,full-time,7604991907,SF bay area,east bay,1,Man,s,FOH,,0
Server,full-time,7604991376,SF bay area,north bay,2,Woman,s,FOH,,0
Chef,full-time,7604883422,SF bay area,san francisco,4,Woman,c,BOH,,0
Line Cook,employee's choice,7604862860,SF bay area,peninsula,4,Woman,c,BOH,,0
Sous Chef,full-time,7604855423,SF bay area,santa cruz,3,Man,c,BOH,Yes,1
Host/Hostess,part-time,7604785560,SF bay area,san francisco,1,Man,s,FOH,,0
BOH,full-time,7604762164,SF bay area,santa cruz,4,Woman,c,BOH,,0
Line Cook,full-time,7604747903,SF bay area,east bay,3,Man,c,BOH,,0
Bartender,full-time,7604739309,SF bay area,san francisco,2,Woman,s,FOH,,0
Bartender,part-time,7606500627,SF bay area,san francisco,2,Woman,s,FOH,,0
BOH,full-time,7606518388,SF bay area,north bay,3,Man,c,BOH,Yes,1
FOH,employee's choice,7604713193,SF bay area,san francisco,2,Woman,s,FOH,,0
Line Cook,full-time,760501024,SF bay area,san francisco,3,Man,c,BOH,Yes,1
Server,full-time,7603708300,SF bay area,san francisco,2,Woman,s,FOH,,0
Cashier,full-time,7606604962,SF bay area,east bay,1,Man,s,FOH,,0
Sous Chef,full-time,7606592461,SF bay area,east bay,6,Nonbinary,c,BOH,,0
Barista,part-time,7606592149,SF bay area,peninsula,2,Woman,s,FOH,Yes,1
Sous Chef,full-time,7606591414,SF bay area,east bay,6,Nonbinary,c,BOH,Yes,1
Cashier,part-time,7606563400,SF bay area,north bay,1,Man,s,FOH,,0
Head Chef,full-time,7606553813,SF bay area,san francisco,4,Woman,c,BOH,,0
Line Cook,part-time,7606548954,SF bay area,peninsula,6,Nonbinary,c,BOH,Yes,1
Server,part-time,7606523569,SF bay area,peninsula,5,Nonbinary,s,FOH,Yes,1
Bartender,part-time,7606497920,SF bay area,north bay,1,Man,s,FOH,,0
Bartender,full-time,7606495416,SF bay area,north bay,2,Woman,s,FOH,,0
Server,employee's choice,7606489736,SF bay area,north bay,5,Nonbinary,s,FOH,,0
Barista,full-time,7606368982,SF bay area,san francisco,1,Man,s,FOH,Yes,1
BOH,employee's choice,7606355351,SF bay area,east bay,4,Woman,c,BOH,Yes,1
BOH,full-time,7606335854,SF bay area,north bay,6,Nonbinary,c,BOH,,0
Server,part-time,7605891630,new york,brooklyn,1,Man,s,FOH,,0
Cashier,employee's choice,7605866638,new york,manhattan,1,Man,s,FOH,,0
Host/Hostess,part-time,7605864855,new york,manhattan,2,Woman,s,FOH,,0
Line Cook,full-time,7605845655,new york,manhattan,6,Nonbinary,c,BOH,,0
Bartender,part-time,7605834017,new york,manhattan,2,Woman,s,FOH,,0
FOH,full-time,7605832834,new york,new jersey,5,Nonbinary,s,FOH,,0
Host/Hostess,full-time,7605832521,new york,brooklyn,1,Man,s,FOH,,0
Busser,full-time,7605831050,new york,brooklyn,2,Woman,s,FOH,,0
Server,full-time,7605828141,new york,manhattan,5,Nonbinary,s,FOH,Yes,1
Line Cook,full-time,7605812160,new york,westchester,3,Man,c,BOH,,0
Bartender,full-time,7605796062,new york,manhattan,2,Woman,s,FOH,,0
Line Cook,full-time,7605801506,new york,queens,6,Nonbinary,c,BOH,,0
Server,full-time,7605797322,new york,manhattan,1,Man,s,FOH,,0
Head Chef,full-time,7605789567,new york,manhattan,4,Woman,c,BOH,,0
Host/Hostess,part-time,7605754099,new york,manhattan,5,Nonbinary,s,FOH,,0
FOH,full-time,7604952409,chicago,city of chicago,1,Man,s,FOH,,0
BOH,part-time,7604940975,chicago,city of chicago,4,Woman,c,BOH,,0
Line Cook,employee's choice,7604877936,chicago,city of chicago,6,Nonbinary,c,BOH,,0
Bartender,part-time,7604846032,chicago,city of chicago,1,Man,s,FOH,,0
Line Cook,full-time,7604840850,chicago,city of chicago,4,Woman,c,BOH,,0
Barista,employee's choice,7604829873,chicago,city of chicago,5,Nonbinary,s,FOH,,0
BOH,part-time,7604815789,chicago,city of chicago,3,Man,c,BOH,Yes,1
Line Cook,full-time,7604770984,chicago,west chicagoland,4,Woman,c,BOH,,0
Host/Hostess,full-time,7604755403,chicago,city of chicago,5,Nonbinary,s,FOH,,0
Cashier,full-time,7604752714,chicago,city of chicago,1,Man,s,FOH,,0
Line Cook,full-time,7605050781,chicago,city of chicago,4,Woman,c,BOH,,0
Server,part-time,7605028878,chicago,north chicagoland,5,Nonbinary,s,FOH,,0
Line Cook,employee's choice,7605004147,chicago,city of chicago,3,Man,c,BOH,,0
BOH,part-time,7605001425,chicago,city of chicago,4,Woman,c,BOH,Yes,1
Help,full-time,7604731555,chicago,west chicagoland,6,Nonbinary,c,BOH,,0
BOH,employee's choice,7604671173,chicago,city of chicago,3,Man,c,BOH,Yes,1
Line Cook,full-time,7604629513,chicago,city of chicago,4,Woman,c,BOH,,0
Busser,part-time,7604600606,chicago,city of chicago,5,Nonbinary,s,FOH,,0
Busser,full-time,7604589326,chicago,city of chicago,1,Man,s,FOH,,0
Line Cook,part-time,7604566842,chicago,city of chicago,4,Woman,c,BOH,,0
Server,full-time,7604560843,chicago,city of chicago,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7604542472,chicago,north chicagoland,3,Man,c,BOH,,0
Server,employee's choice,7604540662,chicago,northwest suburbs,2,Woman,s,FOH,,0
Line Cook,full-time,7604479299,chicago,northwest suburbs,6,Nonbinary,c,BOH,Yes,1
Line Cook,full-time,7604445132,chicago,west chicagoland,3,Man,,,,0
Line Cook,employee's choice,7604417073,chicago,city of chicago,3,Man,c,BOH,,0
Help,part-time,7604404111,chicago,city of chicago,4,Woman,c,BOH,Yes,1
Line Cook,full-time,7604393152,chicago,city of chicago,6,Nonbinary,c,BOH,,0
Help,full-time,7604360130,chicago,city of chicago,1,Man,s,FOH,,0
Line Cook,full-time,7604310472,chicago,city of chicago,4,Woman,c,BOH,,0
Help,full-time,7606300929,SF bay area,north bay,1,Man,s,FOH,,0
Line Cook,full-time,7606269429,SF bay area,south bay,4,Woman,c,BOH,,0
Server,part-time,7606234246,SF bay area,peninsula,5,Nonbinary,s,FOH,,0
Chef,full-time,7606197411,SF bay area,peninsula,3,Man,c,BOH,,0
Server,part-time,7606189181,SF bay area,peninsula,2,Woman,s,FOH,Yes,1
Server,part-time,7606186845,SF bay area,east bay,5,Nonbinary,s,FOH,,0
Server,part-time,7606172244,SF bay area,north bay,1,Man,s,FOH,,0
BOH,employee's choice,7606152716,SF bay area,san francisco,2,Woman,s,FOH,,0
Line Cook,full-time,7606150000,SF bay area,san francisco,6,Nonbinary,c,BOH,,0
Server,employee's choice,7606135645,SF bay area,east bay,1,Man,s,FOH,,0
BOH,part-time,7606116159,SF bay area,san francisco,2,Woman,s,FOH,,0
Server,part-time,7606111809,SF bay area,east bay,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7606106216,SF bay area,san francisco,3,Man,c,BOH,,0
Line Cook,employee's choice,7606101882,SF bay area,east bay,4,Woman,c,BOH,,0
Chef,part-time,7606087601,SF bay area,north bay,6,Nonbinary,c,BOH,,0
BOH,part-time,7606086970,SF bay area,east bay,1,Man,s,FOH,,0
Barista,full-time,7606085896,SF bay area,san francisco,2,Woman,s,FOH,,0
FOH,part-time,7605908812,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Manager,full-time,7605893700,SF bay area,san francisco,3,Man,c,BOH,,0
Host/Hostess,part-time,7605842346,SF bay area,san francisco,2,Woman,s,FOH,,0
Chef,employee's choice,7605836675,SF bay area,east bay,5,Nonbinary,s,FOH,,0
Host/Hostess,full-time,7605833334,SF bay area,north bay,1,Man,s,FOH,,0
FOH,employee's choice,7606358884,new york,brooklyn,1,Man,s,FOH,,0
Manager,full-time,7606358577,new york,manhattan,2,Woman,s,FOH,,0
Server,full-time,7605368363,new york,brooklyn,5,Nonbinary,s,FOH,,0
Line Cook,part-time,7605364063,new york,queens,3,Man,c,BOH,,0
Server,employee's choice,7605361891,new york,westchester,1,Man,s,FOH,,0
Line Cook,full-time,7605361001,new york,queens,4,Woman,c,BOH,,0
Manager,full-time,7605353633,new york,manhattan,5,Nonbinary,s,FOH,,0
Line Cook,part-time,7605347711,new york,bronx,3,Man,c,BOH,,0
Server,full-time,7605345450,new york,manhattan,2,Woman,s,FOH,,0
Line Cook,full-time,7605331396,new york,manhattan,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7605314911,new york,manhattan,4,Woman,c,BOH,,0
Server,part-time,7605308086,new york,brooklyn,1,Man,s,FOH,,0
Line Cook,full-time,7605304059,new york,manhattan,4,Woman,c,BOH,Yes,1
Line Cook,employee's choice,7605298353,new york,brooklyn,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7606974100,SF bay area,east bay,3,Man,c,BOH,Yes,1
Line Cook,full-time,7606967885,SF bay area,san francisco,4,Woman,c,BOH,Yes,1
Line Cook,full-time,7606955220,SF bay area,east bay,6,Nonbinary,c,BOH,,0
Line Cook,employee's choice,7606953706,SF bay area,peninsula,3,Man,c,BOH,,0
Server,part-time,7606950574,SF bay area,san francisco,2,Woman,s,FOH,Yes,1
Manager,part-time,7606935015,SF bay area,san francisco,5,Nonbinary,s,FOH,Yes,1
Manager,full-time,7606930472,SF bay area,san francisco,1,Man,s,FOH,Yes,1
BOH,part-time,7606923608,SF bay area,east bay,4,Woman,c,BOH,Yes,1
BOH,part-time,7606919609,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Host/Hostess,full-time,7606912670,SF bay area,north bay,1,Man,s,FOH,,0
BOH,part-time,7606909110,SF bay area,north bay,4,Woman,c,BOH,Yes,1
Chef,employee's choice,7606906109,SF bay area,east bay,6,Nonbinary,c,BOH,Yes,1
Cashier,full-time,7606905437,SF bay area,san francisco,1,Man,s,FOH,Yes,1
Chef,full-time,7606899947,SF bay area,south bay,4,Woman,c,BOH,,0
Line Cook,part-time,7606893375,SF bay area,san francisco,6,Nonbinary,c,BOH,Yes,1
BOH,full-time,7606892771,SF bay area,north bay,1,Man,s,FOH,,0
Host/Hostess,part-time,7606881381,SF bay area,santa cruz,4,Woman,c,BOH,Yes,1
Server,part-time,7606880772,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Server,part-time,7606862564,SF bay area,san francisco,1,Man,s,FOH,,0
FOH,part-time,7606853548,SF bay area,north bay,2,Woman,s,FOH,,0
Bartender,part-time,7606852921,SF bay area,east bay,5,Nonbinary,s,FOH,,0
Cashier,employee's choice,7606837983,SF bay area,south bay,1,Man,s,FOH,,0
Server,part-time,7606837546,SF bay area,north bay,2,Woman,s,FOH,Yes,1
Host/Hostess,part-time,7606825580,SF bay area,east bay,5,Nonbinary,s,FOH,Yes,1
Bartender,part-time,7606818801,SF bay area,san francisco,1,Man,s,FOH,,0
Line Cook,part-time,7606817226,SF bay area,east bay,4,Woman,c,BOH,Yes,1
Line Cook,employee's choice,7606816696,SF bay area,south bay,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7606814909,SF bay area,santa cruz,3,Man,c,BOH,,0
FOH,part-time,7606808386,SF bay area,east bay,2,Woman,s,FOH,Yes,1
Line Cook,full-time,7606807506,SF bay area,north bay,6,Nonbinary,c,BOH,,0
Line Cook,full-time,7606779830,SF bay area,north bay,3,Man,c,BOH,,0
Barista,full-time,7606733214,SF bay area,north bay,2,Woman,s,FOH,Yes,1
Line Cook,full-time,7606656236,SF bay area,north bay,6,Nonbinary,c,BOH,Yes,1
Server,employee's choice,7606627465,SF bay area,north bay,1,Man,s,FOH,,0
BOH,contract,7604710543,SF bay area,north bay,4,Woman,c,BOH,,0
Line Cook,employee's choice,7604553646,SF bay area,north bay,6,Nonbinary,c,BOH,Yes,1
Line Cook,part-time,7604405326,SF bay area,north bay,3,Man,c,BOH,Yes,1
Sous Chef,full-time,7604370425,SF bay area,north bay,4,Woman,c,BOH,Yes,1
Host/Hostess,part-time,7604348199,SF bay area,north bay,5,Nonbinary,s,FOH,,0
Server,full-time,7604242083,SF bay area,north bay,2,Woman,s,FOH,,0
Server,employee's choice,7604029640,SF bay area,north bay,1,Man,s,FOH,,0
Bartender,employee's choice,7604004062,SF bay area,north bay,2,Woman,s,FOH,,0
Chef,full-time,7603911151,SF bay area,north bay,6,Nonbinary,c,BOH,,0
Help,employee's choice,7603848627,SF bay area,north bay,3,Man,c,BOH,,0
Line Cook,part-time,7603663133,SF bay area,north bay,4,Woman,c,BOH,,0
Server,employee's choice,7603634089,SF bay area,north bay,5,Nonbinary,s,FOH,,0
BOH,part-time,7603603863,SF bay area,north bay,3,Man,c,BOH,Yes,1
